scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,url,user_login,positional_accuracy,geoprivacy,captive_cultivated,genus,id,flowering
Angophora costata,2009-09-01 16:07:00 -0500,"Ku-ring-gai Chase National Park

Suburban Sydney","Ku-Ring-Gai Chase National Park, New South Wales, Australia",-33.704612,151.189309,,http://www.inaturalist.org/observations/21864,eric_hunt,NA,,FALSE,Angophora,21864,0
Angophora costata,2007-12-15 00:00:00 -0800,Lovely bark.  Near Ruined Castle.,"Blue Mountains National Park, New South Wales, Australia",-33.75570849,150.2870035,,http://www.inaturalist.org/observations/47405,sea-kangaroo,NA,,FALSE,Angophora,47405,0
Angophora costata,2007-01-23 00:00:00 -0800,"Lovely bark, even more vivid after some rain.","Blue Mountains National Park, Wentworth Falls, New South Wales, Australia",-33.72738613,150.3710163,,http://www.inaturalist.org/observations/96281,sea-kangaroo,243,,FALSE,Angophora,96281,0
Angophora costata,2010-10-25 00:00:00 -0800,,"Royal National Park, New South Wales, Australia",-34.13943679,151.0061587,,http://www.inaturalist.org/observations/132783,sea-kangaroo,1021,,FALSE,Angophora,132783,0
Angophora hispida,2011-11-02 00:00:00 +1000,Between Waterfall Station and Uloola Falls Campground.,"Royal National Park, New South Wales, Australia",-34.134399,151.0112,,http://www.inaturalist.org/observations/294755,sea-kangaroo,1269,,FALSE,Angophora,294755,0
Angophora costata,2013-12-26 12:57:05 +1100,"One of the many beautiful trees along this track.  No processing involved, this is the color it was.

Between Berowra Station and Waratah Gully crossing.","Ku-Ring-Gai Chase National Park, New South Wales, Australia",-33.62444,151.15671,"bark, orange",http://www.inaturalist.org/observations/522969,sea-kangaroo,210,,FALSE,Angophora,522969,0
Angophora hispida,2015-01-02 14:25:59 +1000,,"Royal, Sutherland Shire - East, AU-NS, AU",-34.11876383,151.1312862,,http://www.inaturalist.org/observations/1156775,ameliaswan,NA,,FALSE,Angophora,1156775,1
Angophora costata,2016-02-05 00:00:00 -0800,"The trail along the coast goes through a grove of magnificent Angophora costata (smooth-barked apple, rose gum, rose apple or Sydney red gum) trees. Thanks to seakangaroo for recommending this trail!","Sydney, New South Wales",-33.843538,151.252995,tree,http://www.inaturalist.org/observations/2646478,wendy5,NA,,FALSE,Angophora,2646478,0
Angophora costata,2016-02-28 09:01:53 +1100,Lots of nice trees along here.,"Shoal Bay, New South Wales, Australia",-32.719457,152.165751,"eucalyptus, smooth-barked apple",http://www.inaturalist.org/observations/2744787,sea-kangaroo,217,,FALSE,Angophora,2744787,0
Angophora costata,2016-02-18 14:21:00 +1100,,"Lane Cove National Park, New South Wales, Australia",-33.73536824,151.0871816,smooth-barked apple,http://www.inaturalist.org/observations/3783239,sea-kangaroo,112,,FALSE,Angophora,3783239,0
