scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,url,user_login,positional_accuracy,geoprivacy,captive_cultivated,genus,id,flowering
Corymbia calophylla,2015-10-11 09:00:32 +0800,,"Yellagonga Regional Park, Woodvale, WA, AU",-31.801335,115.808888,,http://www.inaturalist.org/observations/2095298,coliningram102,5,,FALSE,Corymbia,2095298,2
Corymbia calophylla,2017-01-19 10:47:00 +1300,,"Dryandra Reserve, Ochre Trail",-32.80184899,116.9329834,,https://www.inaturalist.org/observations/4988494,leonperrie,1657,,FALSE,Corymbia,4988494,2
Corymbia calophylla,2017-10-06 10:41:00 +0800,,"Porongurup WA 6324, Australia",-34.63896373,117.9077114,,https://www.inaturalist.org/observations/8408182,npk,1996,,FALSE,Corymbia,8408182,2
Corymbia opaca,2017-12-12 17:07:49 +1030,,"Petermann NT 0872, Australia",-25.35278893,131.0337219,,https://www.inaturalist.org/observations/9159282,michaelskvarla,NA,,FALSE,Corymbia,9159282,2
Corymbia ficifolia,2018-04-19 13:52:32 +1000,,"46 Careel Head Road, Avalon, NSW, AU",-33.62000333,151.33687,,https://www.inaturalist.org/observations/11153838,gabbyj-t,65,,FALSE,Corymbia,11153838,2
Corymbia ficifolia,2018-05-14 09:11:26 +1000,,"58 Willoughby Street, Kirribilli, NSW, AU",-33.84556667,151.2147533,,https://www.inaturalist.org/observations/12460133,heathdog,10,,FALSE,Corymbia,12460133,2
Corymbia opaca,2018-07-01 11:27:00 +0930,,"Burt Plain NT 0872, Australia",-23.67699845,133.7184384,,https://www.inaturalist.org/observations/13935739,adammyates,31,,FALSE,Corymbia,13935739,2
Corymbia citriodora subs,2018-11-09 11:40:00 +1100,,"Nambucca Heads NSW 2448, Australia",-30.64238558,152.9862273,,https://www.inaturalist.org/observations/18326772,nicklambert,82,,FALSE,Corymbia,18326772,2
Corymbia calophylla,2018-10-31 08:21:00 +0800,,"Gracetown WA 6284, Australia",-33.863495,114.9894233,,https://www.inaturalist.org/observations/19078843,dbmcc09,NA,,FALSE,Corymbia,19078843,2
Corymbia calophylla,2018-10-31 16:30:00 +0800,,"Augusta WA 6290, Australia",-34.31455278,115.1592167,,https://www.inaturalist.org/observations/19101357,dbmcc09,50,,FALSE,Corymbia,19101357,2
Corymbia ficifolia,2019-01-12 08:22:00 +1030,,"Scott Creek Conservation Park, SA, Australia",-35.089882,138.6831251,,https://www.inaturalist.org/observations/19778178,cobaltducks,20,,FALSE,Corymbia,19778178,2
Corymbia intermedia,2019-02-15 10:39:00 +1000,,"Mount Mellum QLD 4550, Australia",-26.82399518,152.9199528,,https://www.inaturalist.org/observations/20356072,imcmaster,223,,FALSE,Corymbia,20356072,2
Corymbia intermedia,2019-01-30 12:52:00 +1000,4379/80 labelled plant.,"Cattai Wetlands, Coopernook NSW 2426, Australia",-31.8305,152.6357,,https://www.inaturalist.org/observations/20404307,nyoni-pete,500,,FALSE,Corymbia,20404307,2
Corymbia intermedia,2019-03-06 18:23:00 +1100,,"Utungun NSW 2447, Australia",-30.74496284,152.8140536,,https://www.inaturalist.org/observations/21142240,nicklambert,4,,FALSE,Corymbia,21142240,2
Corymbia gummifera,2019-04-06 13:05:00 +1100,"Sighting and photos (c) tubul.
","Newcastle - Throsby, AU-NS, AU",-32.9319068,151.6990327,,https://www.inaturalist.org/observations/22311034,questagame,NA,,FALSE,Corymbia,22311034,2
Corymbia gummifera,2019-04-19 11:39:14 +1000,,"Sutherland Shire - West, Royal, AU-NS, AU",-34.09424688,151.0469131,,https://www.inaturalist.org/observations/22695356,wcornwell,3,,FALSE,Corymbia,22695356,2
Corymbia calophylla,2019-05-19 11:07:47 +0800,,"Palgarup State Forest, , WA, AU",-34.12931117,116.2057633,,https://www.inaturalist.org/observations/25377907,annbentley,6,,FALSE,Corymbia,25377907,2
Corymbia intermedia,2018-06-14 11:09:00 +1000,,"Tin Can Bay, Queensland, Australia",-25.92859,152.9942306,"fruit, brown, eucalyptus",https://www.inaturalist.org/observations/26152524,sea-kangaroo,7,,FALSE,Corymbia,26152524,2
Corymbia intermedia,2019-06-02 12:15:48 +1000,,"Tyagarah Nature Reserve, , NSW, AU",-28.5918948,153.5683136,,https://www.inaturalist.org/observations/26223509,lianaj,22,,FALSE,Corymbia,26223509,2
Corymbia intermedia,2019-06-23 16:15:11 +1000,,"Experimental Farm, Coolum Beach, QLD, AU",-26.50595397,153.0865457,,https://www.inaturalist.org/observations/27563349,scribbles,38,,FALSE,Corymbia,27563349,2
Corymbia intermedia,2019-06-30 14:57:20 +1000,,"41 Brindabella Avenue, Peregian Springs, QLD, AU",-26.50650302,153.078485,,https://www.inaturalist.org/observations/27990500,scribbles,53,,FALSE,Corymbia,27990500,2
Corymbia trachyphloia,2019-07-21 14:50:00 +1000,6478/9/80/82  Queensland Naturalists' Club excursion.  Corymbia trachyphloia (formerly Eucalyptus) is established in Atlas of Living Australia - can't find it here or on external name providers.,"Beerwah Sci Area 1, QLD 4519, Australia",-26.8599,153.0029,,https://www.inaturalist.org/observations/29293308,nyoni-pete,800,,FALSE,Corymbia,29293308,2
Corymbia intermedia,2019-08-21 16:41:20 +1000,,"The John Goss Reserve, Chermside West, QLD, AU",-27.37855456,153.0115672,,https://www.inaturalist.org/observations/31220907,tpscott,5,,FALSE,Corymbia,31220907,2
Corymbia gummifera,2019-09-10 14:24:27 +1000,,"Scribbly Gum Circuit, Peregian Springs, QLD, AU",-26.50475999,153.0805565,,https://www.inaturalist.org/observations/32687690,scribbles,44,,FALSE,Corymbia,32687690,2
Corymbia intermedia,2019-09-14 12:36:48 +1000,,"Noosa National Park, Noosa Heads, QLD, AU",-26.37803851,153.1082339,,https://www.inaturalist.org/observations/32886068,scribbles,251,,FALSE,Corymbia,32886068,2
Corymbia intermedia,2019-10-10 11:33:10 +1000,"This is a tree with very parallel venation and intramarginal veins, simple alternate leaves. Part of the myrataceae family. ","Orpheus Island National Park, Palm Island, QLD, AU",-18.61929833,146.4968488,,https://www.inaturalist.org/observations/34153942,mullinma,285,,FALSE,Corymbia,34153942,2
Corymbia calophylla,2019-10-01 17:31:19 +0800,,"Yellagonga Regional Park, Joondalup, WA, AU",-31.72147,115.769945,,https://www.inaturalist.org/observations/34453575,annbentley,6,,FALSE,Corymbia,34453575,2
Corymbia intermedia,2019-11-20 21:46:42 +1000,,"Brindabella Avenue, Peregian Springs, QLD, AU",-26.50648276,153.077881,,https://www.inaturalist.org/observations/35881375,scribbles,22,,FALSE,Corymbia,35881375,2
Corymbia calophylla,2015-01-20 21:31:00 -0500,,"Armadale, AU-WA, AU",-32.17621332,116.0354545,,https://www.inaturalist.org/observations/36487835,ryruther,NA,,FALSE,Corymbia,36487835,2
Corymbia calophylla,2019-12-15 10:05:02 +0800,,"WA Botanic Garden, Kings Park WA 6005, Australia",-31.9643994,115.839027,,https://www.inaturalist.org/observations/36672139,ursomassimo,69,,FALSE,Corymbia,36672139,2
